NASA SC(2)-0714 AIRFOIL
1.000000 -0.009500
0.990000 -0.006300
0.980000 -0.003200
0.970000 -0.000200
0.960000 0.002700
0.950000 0.005600
0.940000 0.008400
0.930000 0.011100
0.920000 0.013700
0.910000 0.016200
0.900000 0.018700
0.890000 0.021100
0.880000 0.023400
0.870000 0.025600
0.860000 0.027800
0.850000 0.029900
0.840000 0.031900
0.830000 0.033900
0.820000 0.035800
0.810000 0.037600
0.800000 0.039400
0.790000 0.041100
0.780000 0.042700
0.770000 0.044300
0.760000 0.045800
0.750000 0.047300
0.740000 0.048700
0.730000 0.050000
0.720000 0.051300
0.710000 0.052500
0.700000 0.053700
0.690000 0.054800
0.680000 0.055900
0.670000 0.056900
0.660000 0.057900
0.650000 0.058800
0.640000 0.059700
0.630000 0.060500
0.620000 0.061300
0.610000 0.062100
0.600000 0.062800
0.590000 0.063500
0.580000 0.064100
0.570000 0.064700
0.560000 0.065300
0.550000 0.065800
0.540000 0.066300
0.530000 0.066800
0.520000 0.067200
0.510000 0.067600
0.500000 0.068000
0.490000 0.068300
0.480000 0.068600
0.470000 0.068900
0.460000 0.069100
0.450000 0.069300
0.440000 0.069500
0.430000 0.069600
0.420000 0.069700
0.410000 0.069800
0.400000 0.069900
0.390000 0.069900
0.380000 0.069900
0.370000 0.069900
0.360000 0.069800
0.350000 0.069700
0.340000 0.069600
0.330000 0.069400
0.320000 0.069200
0.310000 0.068900
0.300000 0.068600
0.290000 0.068300
0.280000 0.067900
0.270000 0.067500
0.260000 0.067000
0.250000 0.066500
0.240000 0.066000
0.230000 0.065400
0.220000 0.064800
0.210000 0.064100
0.200000 0.063300
0.190000 0.062500
0.180000 0.061600
0.170000 0.060700
0.160000 0.059700
0.150000 0.058600
0.140000 0.057400
0.130000 0.056200
0.120000 0.054900
0.110000 0.053500
0.100000 0.051900
0.090000 0.050200
0.080000 0.048400
0.070000 0.046300
0.060000 0.044000
0.050000 0.041400
0.040000 0.038300
0.030000 0.034600
0.020000 0.029600
0.010000 0.022400
0.005000 0.016580
0.002000 0.010770
0.000000 0.000000
0.002000 -0.010770
0.005000 -0.016580
0.010000 -0.022400
0.020000 -0.029600
0.030000 -0.034500
0.040000 -0.038200
0.050000 -0.041300
0.060000 -0.043900
0.070000 -0.046200
0.080000 -0.048300
0.090000 -0.050100
0.100000 -0.051800
0.110000 -0.053400
0.120000 -0.054900
0.130000 -0.056200
0.140000 -0.057400
0.150000 -0.058600
0.160000 -0.059700
0.170000 -0.060700
0.180000 -0.061600
0.190000 -0.062500
0.200000 -0.063300
0.210000 -0.064100
0.220000 -0.064800
0.230000 -0.065500
0.240000 -0.066100
0.250000 -0.066700
0.260000 -0.067200
0.270000 -0.067700
0.280000 -0.068100
0.290000 -0.068500
0.300000 -0.068800
0.310000 -0.069100
0.320000 -0.069300
0.330000 -0.069500
0.340000 -0.069600
0.350000 -0.069700
0.360000 -0.069700
0.370000 -0.069700
0.380000 -0.069600
0.390000 -0.069500
0.400000 -0.069300
0.410000 -0.069100
0.420000 -0.068800
0.430000 -0.068500
0.440000 -0.068100
0.450000 -0.067700
0.460000 -0.067200
0.470000 -0.066700
0.480000 -0.066100
0.490000 -0.065400
0.500000 -0.064600
0.510000 -0.063700
0.520000 -0.062700
0.530000 -0.061600
0.540000 -0.060400
0.550000 -0.059100
0.560000 -0.057700
0.570000 -0.056200
0.580000 -0.054600
0.590000 -0.052900
0.600000 -0.051100
0.610000 -0.049200
0.620000 -0.047300
0.630000 -0.045300
0.640000 -0.043300
0.650000 -0.041200
0.660000 -0.039100
0.670000 -0.037000
0.680000 -0.034800
0.690000 -0.032600
0.700000 -0.030400
0.710000 -0.028200
0.720000 -0.026000
0.730000 -0.023800
0.740000 -0.021600
0.750000 -0.019400
0.760000 -0.017300
0.770000 -0.015200
0.780000 -0.013200
0.790000 -0.011300
0.800000 -0.009500
0.810000 -0.007900
0.820000 -0.006400
0.830000 -0.005000
0.840000 -0.003800
0.850000 -0.002800
0.860000 -0.002000
0.870000 -0.001400
0.880000 -0.001000
0.890000 -0.000800
0.900000 -0.000900
0.910000 -0.001200
0.920000 -0.001700
0.930000 -0.002500
0.940000 -0.003600
0.950000 -0.005000
0.960000 -0.006700
0.970000 -0.008700
0.980000 -0.011000
0.990000 -0.013600
1.000000 -0.016500
