Naca 4412 By Naca.exe D. LEDNICER
 1.0000000 0.0012944
 0.9978671 0.0018820
 0.9914865 0.0036282
 0.9809128 0.0064845
 0.9662361 0.0103722
 0.9475816 0.0151866
 0.9251086 0.0208015
 0.8990086 0.0270736
 0.8695045 0.0338484
 0.8368478 0.0409643
 0.8013173 0.0482571
 0.7632161 0.0555631
 0.7228692 0.0627223
 0.6806208 0.0695800
 0.6368315 0.0759888
 0.5918748 0.0818104
 0.5461342 0.0869166
 0.5000000 0.0911918
 0.4538658 0.0945349
 0.4081253 0.0968623
 0.3631685 0.0979141
 0.3193792 0.0973585
 0.2771308 0.0952322
 0.2367839 0.0916139
 0.1986827 0.0866185
 0.1631522 0.0803937
 0.1304955 0.0731159
 0.1009914 0.0649841
 0.0748914 0.0562128
 0.0524184 0.0470232
 0.0337639 0.0376357
 0.0190872 0.0282585
 0.0085134 0.0190838
 0.0021329 0.0103102
 0.0000000 0.0000000
 0.0021329 -0.0063957
 0.0085134 -0.0130898
 0.0190872 -0.0186856
 0.0337639 -0.0231372
 0.0524184 -0.0264611
 0.0748914 -0.0287001
 0.1009914 -0.0299203
 0.1304955 -0.0302122
 0.1631522 -0.0296915
 0.1986827 -0.0284989
 0.2367839 -0.0267966
 0.2771308 -0.0247639
 0.3193792 -0.0225893
 0.3631685 -0.0204614
 0.4081253 -0.0185549
 0.4538658 -0.0166688
 0.5000000 -0.0146948
 0.5461342 -0.0127272
 0.5918748 -0.0108436
 0.6368315 -0.0091031
 0.6806208 -0.0075454
 0.7228692 -0.0061919
 0.7632161 -0.0050482
 0.8013173 -0.0041066
 0.8368478 -0.0033503
 0.8695045 -0.0027567
 0.8990086 -0.0023005
 0.9251086 -0.0019571
 0.9475816 -0.0017036
 0.9662361 -0.0015208
 0.9809128 -0.0013935
 0.9914865 -0.0013101
 0.9978671 -0.0012630
 1.0000000 -0.0012489
